Congress,Years,Total,Dem,GOP,Others,Vacancies
65th,1917–1919,435,210,216,9,NA
66th,1919–1921,435,191,237,7,NA
67th,1921–1923,435,132,300,1,2
68th,1923–1925,435,207,225,3,NA
69th,1925–1927,435,183,247,5,NA
70th,1927–1929,435,195,237,3,NA
71st,1929–1931,435,163,267,1,4
72nd,1931–1933,435,217,217,1,NA
73rd,1933–1935,435,313,117,5,NA
74th,1935–1937,435,322,103,10,NA
75th,1937–1939,435,333,89,13,NA
76th,1939–1941,435,262,169,4,NA
77th,1941–1943,435,267,162,6,NA
78th,1943–1945,435,222,209,4,NA
79th,1945–1947,435,243,190,2,NA
80th,1947–1949,435,188,246,1,NA
81st,1949–1951,435,263,171,1,NA
82nd,1951–1953,435,234,199,2,NA
83rd,1953–1955,435,213,221,1,NA
84th,1955–1957,435,232,203,NA,NA
85th,1957–1959,435,234,201,NA,NA
86th,1959–1961,437,283,153,1,NA
87th,1961–1963,437,262,175,NA,NA
88th,1963–1965,435,258,176,NA,1
89th,1965–1967,435,295,140,NA,NA
90th,1967–1969,435,247,187,NA,1
91st,1969–1971,435,243,192,NA,NA
92nd,1971–1973,435,255,180,NA,NA
93rd,1973–1975,435,242,192,1,NA
94th,1975–1977,435,291,144,NA,NA
95th,1977–1979,435,292,143,NA,NA
96th,1979–1981,435,277,158,NA,NA
97th,1981–1983,435,242,192,1,NA
98th,1983–1985,435,269,166,NA,NA
99th,1985–1987,435,253,182,NA,NA
100th,1987–1989,435,258,177,NA,NA
101st,1989–1991,435,260,175,NA,NA
102nd,1991–1993,435,267,167,1,NA
103rd,1993–1995,435,258,176,1,NA
104th,1995–1997,435,204,230,1,NA
105th,1997–1999,435,207,226,2,NA
106th,1999–2001,435,211,223,1,NA
107th,2001–2003,435,212,221,2,NA
108th,2003–2005,435,205,229,1,NA
109th,2005–2007,435,202,231,1,1
110th,2007–2009,435,236,199,NA,NA
111th,2009–2011,435,257,178,NA,NA
112th,2011–2013,435,193,242,NA,NA
113th,2013–2015,435,201,234,NA,NA
114th,2015–2017,435,188,247,NA,NA
115th,2017-2019,435,194,241,NA,NA