"","id","legisNames","party","year","icpsrst","district","incumb","numdvt","numrvt","numovt","statenm","stpost","fipsst","Office","CensusPop","Area","RedistrictedDate","RepCandidate","RepStatus","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RaceNotes","dpvote","winner","numdvt_js","numrvt_js","numovt_js","handcorrected","y","x"
"ESTY (D CT-5)","CT-5","ESTY (D CT-5)","D",2016,NA,5,1,179252,129801,NA,NA,"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,"Elizabeth Etsy",NA,NA,NA,NA,-0.768939083473951,47.9
"BLUNT (D DE-1)","DE-1","BLUNT (D DE-1)","D",2016,NA,1,NA,233554,172301,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"Lisa Blunt Rochester",NA,NA,NA,NA,-0.959468141955653,44
"GAETZ (R FL-1)","FL-1","GAETZ (R FL-1)","R",2016,NA,1,0,114079,255107,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,"Matt Gaetz",NA,NA,NA,NA,0.537866957712614,70.5
"DEMINGS (D FL-10)","FL-10","DEMINGS (D FL-10)","D",2016,NA,10,0,198491,107498,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,"Val Demings",NA,NA,NA,NA,-0.895644385884668,36.1
"WEBSTER (R FL-11)","FL-11","WEBSTER (R FL-11)","R",2016,NA,11,-1,124713,258016,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,"Dan Webster",NA,NA,NA,NA,0.664025872967231,66.6
"BILIRAKIS (R FL-12)","FL-12","BILIRAKIS (R FL-12)","R",2016,NA,12,-1,116110,253559,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3,"Gus Bilirakis",NA,NA,NA,NA,1.28330413410256,59.7
"CRIST (D FL-13)","FL-13","CRIST (D FL-13)","D",2016,NA,13,-1,184693,171149,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,"Charlie Crist",NA,NA,NA,NA,-0.521739299925804,48.3
"CASTOR (D FL-14)","FL-14","CASTOR (D FL-14)","D",2016,NA,14,1,195789,121088,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,"Kathy Castor",NA,NA,NA,NA,-1.01885927633053,40.5
"ROSS (R FL-15)","FL-15","ROSS (R FL-15)","R",2016,NA,15,-1,135475,182999,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,"Dennis Ross",NA,NA,NA,NA,1.11241477009709,55.2
"BUCHANAN (R FL-16)","FL-16","BUCHANAN (R FL-16)","R",2016,NA,16,-1,155262,230654,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,"Vern Buchanan",NA,NA,NA,NA,0.873594238532154,55.5
"ROONEY (R FL-17)","FL-17","ROONEY (R FL-17)","R",2016,NA,17,-1,115974,209348,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Tom Rooney",NA,NA,NA,NA,0.604420863642157,64
"MAST (R FL-18)","FL-18","MAST (R FL-18)","R",2016,NA,18,0,161918,201488,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3,"Brian Mast",NA,NA,NA,NA,0.553702404636,54.7
"ROONEY (R FL-19)","FL-19","ROONEY (R FL-19)","R",2016,NA,19,0,123812,239225,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,"Francis Rooney",NA,NA,NA,NA,1.11505748193808,61.4
"DUNN (R FL-2)","FL-2","DUNN (R FL-2)","R",2016,NA,2,0,102801,231163,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,"Neal Dunn",NA,NA,NA,NA,1.09655690009045,68.4
"HASTINGS (D FL-20)","FL-20","HASTINGS (D FL-20)","D",2016,NA,20,1,222914,54646,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.6,"Alcee Hastings",NA,NA,NA,NA,-1.65295160123986,18.4
"FRANKEL (D FL-21)","FL-21","FRANKEL (D FL-21)","D",2016,NA,21,1,210606,118038,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Lois Frankel",NA,NA,NA,NA,-1.18601594349209,40
"DEUTCH (D FL-22)","FL-22","DEUTCH (D FL-22)","D",2016,NA,22,1,199113,138737,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,"Ted Deutch",NA,NA,NA,NA,-0.991456137065813,41.9
"WASSERMAN (D FL-23)","FL-23","WASSERMAN (D FL-23)","D",2016,NA,23,1,183225,130818,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4,"Debbie Wasserman Schultz",NA,NA,NA,NA,-1.10773894896717,36.6
"WILSON (D FL-24)","FL-24","WILSON (D FL-24)","D",2016,NA,24,1,0,0,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.4,"Frederica Wilson",NA,NA,NA,NA,-1.42031870097561,15.6
"DIAZ-BALART (R FL-25)","FL-25","DIAZ-BALART (R FL-25)","R",2016,NA,25,-1,95319,157921,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1,"Mario Diaz-Balart",NA,NA,NA,NA,0.294920132920244,50.9
"CURBELO (R FL-26)","FL-26","CURBELO (R FL-26)","R",2016,NA,26,-1,115493,148547,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,"Carlos Curbelo",NA,NA,NA,NA,0.164724706409665,41.7
"ROS-LEHTINE (R FL-27)","FL-27","ROS-LEHTINE (R FL-27)","R",2016,NA,27,-1,129760,157917,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,"Ileana Ros-Lehtinen",NA,NA,NA,NA,0.13619227461152,39.9
"YOHO (R FL-3)","FL-3","YOHO (R FL-3)","R",2016,NA,3,-1,136338,193843,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,"Ted Yoho",NA,NA,NA,NA,1.05760067914343,58.3
"RUTHERFORD (R FL-4)","FL-4","RUTHERFORD (R FL-4)","R",2016,NA,4,0,113088,287509,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,"John Rutherford",NA,NA,NA,NA,0.898505174464009,64.6
"LAWSON (D FL-5)","FL-5","LAWSON (D FL-5)","D",2016,NA,5,0,194549,108325,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,"Al Lawson",NA,NA,NA,NA,-0.604547607530222,36.9
"DESANTIS (R FL-6)","FL-6","DESANTIS (R FL-6)","R",2016,NA,6,-1,151051,213519,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2,"Ron DeSantis",NA,NA,NA,NA,0.714832947265356,58.8
"MURPHY (D FL-7)","FL-7","MURPHY (D FL-7)","D",2016,NA,7,-1,182039,171583,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,"Stephanie Murphy",NA,NA,NA,NA,-0.484956651476808,46.2
"POSEY (R FL-8)","FL-8","POSEY (R FL-8)","R",2016,NA,8,-1,127127,246483,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,"Bill Posey",NA,NA,NA,NA,0.400944570325256,60.8
"SOTO (D FL-9)","FL-9","SOTO (D FL-9)","D",2016,NA,9,0,195311,144450,NA,NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,"Darren Soto",NA,NA,NA,NA,-0.835640725892302,43.3
"CARTER (R GA-1)","GA-1","CARTER (R GA-1)","R",2016,NA,1,-1,0,210243,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"Buddy Carter",NA,NA,NA,NA,0.733383462753573,58
"HICE (R GA-10)","GA-10","HICE (R GA-10)","R",2016,NA,10,-1,0,243725,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,"Jody Hice",NA,NA,NA,NA,0.86744589585429,63.1
"LOUDERMILK (R GA-11)","GA-11","LOUDERMILK (R GA-11)","R",2016,NA,11,-1,105383,217935,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,"Barry Loudermilk",NA,NA,NA,NA,1.05524271209937,63.1
"ALLEN (R GA-12)","GA-12","ALLEN (R GA-12)","R",2016,NA,12,-1,99420,159492,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,"Rick Allen",NA,NA,NA,NA,1.25393325217505,58.3
"SCOTT (D GA-13)","GA-13","SCOTT (D GA-13)","D",2016,NA,13,1,252833,0,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.7,"David Scott",NA,NA,NA,NA,-0.732123316382201,27.3
"GRAVES (R GA-14)","GA-14","GRAVES (R GA-14)","R",2016,NA,14,-1,0,216743,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,"Tom Graves",NA,NA,NA,NA,0.59470165136833,77.2
"BISHOP (D GA-2)","GA-2","BISHOP (D GA-2)","D",2016,NA,2,1,148543,94056,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"Sanford Bishop",NA,NA,NA,NA,-0.616622403275279,44
"FERGUSON (R GA-3)","GA-3","FERGUSON (R GA-3)","R",2016,NA,3,-1,95969,207218,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,"Drew Ferguson",NA,NA,NA,NA,1.51888469935833,66.2
"JOHNSON (D GA-4)","GA-4","JOHNSON (D GA-4)","D",2016,NA,4,1,220146,70593,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.2,"Hank Johnson",NA,NA,NA,NA,-0.959535106001734,22.8
"LEWIS (D GA-5)","GA-5","LEWIS (D GA-5)","D",2016,NA,5,1,253781,46768,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7,"John Lewis",NA,NA,NA,NA,-2.13082708358012,12.3
"HANDEL (R GA-6)","GA-6","HANDEL (R GA-6)","R",2016,NA,6,-1,124917,201088,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2,"Tom Price",NA,NA,NA,NA,0.762363575221867,50.8
"WOODALL (R GA-7)","GA-7","WOODALL (R GA-7)","R",2016,NA,7,-1,114220,174081,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,"Rob Woodall",NA,NA,NA,NA,0.663209455158303,53.3
"SCOTT (R GA-8)","GA-8","SCOTT (R GA-8)","R",2016,NA,8,-1,83225,173983,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,"Austin Scott",NA,NA,NA,NA,1.73733793920193,64.8
"COLLINS (R GA-9)","GA-9","COLLINS (R GA-9)","R",2016,NA,9,-1,0,256535,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,"Doug Collins",NA,NA,NA,NA,0.645394562183534,80.1
"HANABUSA (D HI-1)","HI-1","HANABUSA (D HI-1)","D",2016,NA,1,NA,145417,45958,NA,NA,"HI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4,"Colleen Hanabusa",NA,NA,NA,NA,-1.3018476081984,32.6
"GABBARD (D HI-2)","HI-2","GABBARD (D HI-2)","D",2016,NA,2,1,170848,39668,NA,NA,"HI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,"Tulsi Gabbard",NA,NA,NA,NA,-0.750649162235153,32.5
"BLUM (R IA-1)","IA-1","BLUM (R IA-1)","R",2016,NA,1,-1,177403,206903,NA,NA,"IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,"Rod Blum",NA,NA,NA,NA,0.250349253223049,51.9
"LOEBSACK (D IA-2)","IA-2","LOEBSACK (D IA-2)","D",2016,NA,2,1,198571,170933,NA,NA,"IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,"Dave Loebsack",NA,NA,NA,NA,-0.673921988584799,52.2
"YOUNG (R IA-3)","IA-3","YOUNG (R IA-3)","R",2016,NA,3,-1,155002,208598,NA,NA,"IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,"David Young",NA,NA,NA,NA,0.387536935918337,51.9
"KING (R IA-4)","IA-4","KING (R IA-4)","R",2016,NA,4,-1,142993,226719,NA,NA,"IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,"Steve King",NA,NA,NA,NA,1.52428162869277,64.5
"LABRADOR (R ID-1)","ID-1","LABRADOR (R ID-1)","R",2016,NA,1,-1,113052,242252,NA,NA,"ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,"Raul Labrador",NA,NA,NA,NA,0.496202283562185,71.5
"SIMPSON (R ID-2)","ID-2","SIMPSON (R ID-2)","R",2016,NA,2,-1,95940,205292,NA,NA,"ID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,"Mike Simpson",NA,NA,NA,NA,1.03181792386864,64.7
"RUSH (D IL-1)","IL-1","RUSH (D IL-1)","D",2016,NA,1,1,234037,81817,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,"Bobby Rush",NA,NA,NA,NA,-1.14827892172723,22.1
"SCHNEIDER (D IL-10)","IL-10","SCHNEIDER (D IL-10)","D",2016,NA,10,-1,150435,135535,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,"Brad Schneider",NA,NA,NA,NA,-0.51983853537806,34.5
"FOSTER (D IL-11)","IL-11","FOSTER (D IL-11)","D",2016,NA,11,1,166578,108995,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,"Bill Foster",NA,NA,NA,NA,-0.836136455478846,37.5
"BOST (R IL-12)","IL-12","BOST (R IL-12)","R",2016,NA,12,-1,124246,169976,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,"Mike Bost",NA,NA,NA,NA,0.62442837694208,57.8
"DAVIS (R IL-13)","IL-13","DAVIS (R IL-13)","R",2016,NA,13,-1,126811,187583,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,"Rodney Davis",NA,NA,NA,NA,0.481837274532028,52.9
"HULTGREN (R IL-14)","IL-14","HULTGREN (R IL-14)","R",2016,NA,14,-1,137589,200508,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,"Randy Hultgren",NA,NA,NA,NA,1.18541656688155,52.1
"SHIMKUS (R IL-15)","IL-15","SHIMKUS (R IL-15)","R",2016,NA,15,-1,0,274554,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7,"John Shimkus",NA,NA,NA,NA,0.882594147694142,74.3
"KINZINGER (R IL-16)","IL-16","KINZINGER (R IL-16)","R",2016,NA,16,-1,0,259722,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,"Adam Kinzinger",NA,NA,NA,NA,0.657824565542231,59.2
"BUSTOS (D IL-17)","IL-17","BUSTOS (D IL-17)","D",2016,NA,17,1,173125,113943,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,"Cheri Bustos",NA,NA,NA,NA,-0.686727858246839,50.4
"LAHOOD (R IL-18)","IL-18","LAHOOD (R IL-18)","R",2016,NA,18,-1,96770,250506,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,"Darin LaHood",NA,NA,NA,NA,0.799911482402393,64.5
"KELLY (D IL-2)","IL-2","KELLY (D IL-2)","D",2016,NA,2,1,235051,59471,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,"Robin Kelly",NA,NA,NA,NA,-1.2852252611973,19.7
"LIPINSKI (D IL-3)","IL-3","LIPINSKI (D IL-3)","D",2016,NA,3,1,225320,0,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"Dan Lipinski",NA,NA,NA,NA,-0.52847892596234,42
"GUTIARREZ (D IL-4)","IL-4","GUTIARREZ (D IL-4)","D",2016,NA,4,1,171297,0,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1,"Luis Gutierrez",NA,NA,NA,NA,-1.03512220519219,13.9
"QUIGLEY (D IL-5)","IL-5","QUIGLEY (D IL-5)","D",2016,NA,5,1,212842,86222,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7,"Mike Quigley",NA,NA,NA,NA,-0.978389880363878,25.3
"ROSKAM (R IL-6)","IL-6","ROSKAM (R IL-6)","R",2016,NA,6,-1,143591,208555,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7,"Peter Roskam",NA,NA,NA,NA,0.607133107131346,46.3
"DAVIS (D IL-7)","IL-7","DAVIS (D IL-7)","D",2016,NA,7,1,250584,46882,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,"Danny Davis",NA,NA,NA,NA,-1.30157264160064,9.5
"KRISHNAMOOR (D IL-8)","IL-8","KRISHNAMOOR (D IL-8)","D",2016,NA,8,NA,144954,103617,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5,"Raja Krishnamoorthi",NA,NA,NA,NA,-0.913714771872452,38.5
"SCHAKOWSKY (D IL-9)","IL-9","SCHAKOWSKY (D IL-9)","D",2016,NA,9,1,217306,109550,NA,NA,"IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8,"Jan Schakowsky",NA,NA,NA,NA,-2.39805395423003,26.2
"VISCLOSKY (D IN-1)","IN-1","VISCLOSKY (D IN-1)","D",2016,NA,1,1,207515,0,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6,"Peter Visclosky",NA,NA,NA,NA,-0.948656519391625,43.4
"WALORSKI (R IN-2)","IN-2","WALORSKI (R IN-2)","R",2016,NA,2,-1,102401,164355,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,"Jackie Walorski",NA,NA,NA,NA,0.901054276071765,62.2
"BANKS (R IN-3)","IN-3","BANKS (R IN-3)","R",2016,NA,3,-1,66023,201396,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,"Jim Banks",NA,NA,NA,NA,1.08615760542386,68.4
"ROKITA (R IN-4)","IN-4","ROKITA (R IN-4)","R",2016,NA,4,-1,91256,193412,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Todd Rokita",NA,NA,NA,NA,0.540374792925922,68
"BROOKS (R IN-5)","IN-5","BROOKS (R IN-5)","R",2016,NA,5,-1,123849,221957,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,"Susan Brooks",NA,NA,NA,NA,1.00791585771698,56.3
"MESSER (R IN-6)","IN-6","MESSER (R IN-6)","R",2016,NA,6,-1,79135,204920,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,"Luke Messer",NA,NA,NA,NA,1.02889148049191,71.2
"CARSON (D IN-7)","IN-7","CARSON (D IN-7)","D",2016,NA,7,1,158739,94456,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"Andre Carson",NA,NA,NA,NA,-1.25384316045934,38
"BUCSHON (R IN-8)","IN-8","BUCSHON (R IN-8)","R",2016,NA,8,-1,93356,187702,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,"Larry Bucshon",NA,NA,NA,NA,0.950121497659689,67.6
"HOLLINGSWOR (R IN-9)","IN-9","HOLLINGSWOR (R IN-9)","R",2016,NA,9,-1,130627,174791,NA,NA,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,"Trey Hollingsworth",NA,NA,NA,NA,0.686000557064239,64.1
"MARSHALL (R KS-1)","KS-1","MARSHALL (R KS-1)","R",2016,NA,1,NA,0,169992,NA,NA,"KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Roger Marshall",NA,NA,NA,NA,1.02956424501386,74
"JENKINS (R KS-2)","KS-2","JENKINS (R KS-2)","R",2016,NA,2,-1,96840,181228,NA,NA,"KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,"Lynn Jenkins",NA,NA,NA,NA,0.615265762243605,59.9
"YODER (R KS-3)","KS-3","YODER (R KS-3)","R",2016,NA,3,-1,139300,176022,NA,NA,"KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,"Kevin Yoder",NA,NA,NA,NA,0.520103949164978,49.4
"ESTES (R KS-4)","KS-4","ESTES (R KS-4)","R",2016,NA,4,-1,81495,166998,NA,NA,"KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,"Mike Pompeo",NA,NA,NA,NA,1.04717597174667,64.6
"COMER (R KY-1)","KY-1","COMER (R KY-1)","R",2016,NA,1,NA,81710,216959,NA,NA,"KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8,"James Comer",NA,NA,NA,NA,0.668966254354047,75.2
"GUTHRIE (R KY-2)","KY-2","GUTHRIE (R KY-2)","R",2016,NA,2,-1,0,251825,NA,NA,"KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"Brett Guthrie",NA,NA,NA,NA,1.12803388653028,71
"YARMUTH (D KY-3)","KY-3","YARMUTH (D KY-3)","D",2016,NA,3,1,212401,122093,NA,NA,"KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,"John Yarmuth",NA,NA,NA,NA,-0.947178835183274,42.1
"MASSIE (R KY-4)","KY-4","MASSIE (R KY-4)","R",2016,NA,4,-1,94065,233922,NA,NA,"KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Thomas Massie",NA,NA,NA,NA,0.211320621551427,69
"ROGERS (R KY-5)","KY-5","ROGERS (R KY-5)","R",2016,NA,5,-1,0,221242,NA,NA,"KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Hal Rogers",NA,NA,NA,NA,1.14307474277438,82
